;Исполнитель;Группа тем;Текст инцидента;Тема;num_ner
247;Город Пермь;Дороги;'В Перми 21 век или каменный на ул.березниковской44 Толи на тракторе Толи на кобыле приехали кое-как пробили ручей через улицу а трубу не смогли положить этом перекрыли дорогу по улице ни пожарным не проехать ни скорой кое как пешком проходят люди сейчас что 22 век ждать чтоб трубу в мерзлую землю изобрели трактор вкопать.Почти такая же история у дома54 по этой же улице вода вышла на проезжую часть улицы и скоро потечёт в дома находящиеся ниже проезжей части и никаких мер не принимается властью и два года назад такая же история и отписка что это Весенний паводок может наша власть из южной Америки где весна в декабре и ее надо заменить людьми с Урала из Перми чтоб что-то делали для земляков а не только бумагу марали отписками;Подтопление автомобильных дорог;6
323;Город Пермь;Дороги;'Правильно я понимаю, что теперь парковка по Пушкарской на участке от улицы Юрша до светофора на выезд дублера Старцева запрещена, тем самым освобождая для движения 4 полосы, а ближе к светофору дорога расширена, потому как там не получается полноценных четырёх полос? Движение учебных машин с их маневрами, перестроениями, поворотами, разворотами на этом же участке запрещено? Организован остановочный пункт и пешеходный переход -один, регулируемый, в районе этого пункта? А не через каждые 100 метров? Отрегулирован светофор, позволяющий поворачивать налево на дублёр, не дожидаясь последних двух секунд, когда поток машин поворачивающих на Пушкарскую прекратится? Отремонтирована дорога -дублер Старцева, особенно переезд трамвайных путей и заделаны все ямы? В районе Лада центра оставлять грузовики перекрывая полностью одну из полос теперь так же нельзя ? И в районе Жигулёвской сделан выезд к светофору под мост?;Строительство или реконструкция дорог;6
407;Министерство здравоохранения;Здравоохранение/Медицина;'Здравствуйте, сегодня вечером в больницу по адресу г. Чусовой, Сивкова 7 поступил наш дедушка, с травмой головного мозга, сломан нос и отек головного мозга, счёт сейчас идёт на минуты, дедушка находится в реанимации, врачи сказали что из города Пермь должны будут приехать врачи неонатологи, но приедут они в течении двух или трёх дней, он не дождется их , не выживет. Пожалуйста примите меры, можно отвезти его на реанимационной машине в город Пермь, или чтобы врачи приехали незамедлительно. Примите пожалуйста меры! Имя дедушки Овчинников Александр Петрович, 20.11.1956г.;★ Просьбы о лечении;5
418;Город Пермь;Физическая культура и спорт;'А моём детстве хоккейная коробка была во многих дворах, заливался стадион за 97школой (ныне 5 гимназия), сейчас увы. В нашем микрорайоне только платные Труд.Резервы, стадион за школой Точка завален снегом, так как покрытие не предназначено для зимних видов спорта, коробка хоккейная на Крупской,67-69 разрушена, заливать некому, восстанавливать никто не хочет. НО я на 200% уверена, что и стадион без снега пользовался бы огромным спросом, и хоккейная коробка залитая была бы заполнена на 100%. Но увы. Кругом проекты и показуха. Языками чешут, дела подождут. Главное послания, обещания. Сегодня в Пермских новостях: В Перми может появиться городской прокат велосипедов за 39млн,(А может и не появиться), и след.новость- Пермь может принять беженцев -(а МОЖЕТ и не принять). мы просто заржали с мужем в голос - а может построят зоопарк, а может построят восьмой мост, а может построят аквапарк, а может. Трепло, однако.;Строительство спортивной инфраструктуры;6
444;Министерство здравоохранения;Здравоохранение/Медицина;'Я живу в Орджоникидзевском районе уже год. Очень плохая медицина в этом районе, особенно на Гайве. У нас (по нашему адресу) нет участкового терапевта. Рецепты выписывать некому и никто не хочет из других терапевтов нами заниматься (обследованием и выпиской рецептов). К неврологу можно попасть только если терапевт запишет, по другому никак, а к самому терапевту тоже не попадешь. Когда мы приходили весной прошлого года к терапевту (которой отдали наш участок временно и которая получает за это деньги) она нам сказала что нами заниматься не будет. Это было ещё до летней вспышки коронавируса. Сколько я не пыталась, никто не захотел меня выслушать. Мне надо проходить обследование у гастроэнтеролога, а его в Орджоникидзевском районе нет. Вот вы заставляете ставить прививку от коронавируса, а для этого мне надо пройти невролога и обследоваться у гастроэнтеролога, а к ним не попадешь - к неврологу через терапевта (а у нас его нет), а гастро вообще нету. Что тогда делать? Почему в Дзержинском районе вообще проблем с врачами нет, а в Орджоникидзевском районе вообще врачей почти нет? Столько строят новых домов на Гайве, а нормальной медицины нет. Или Орджоникидзевский район не считается городом, раз о врачах тут никто не думает? И мне надо рецепт выписывать на лекарство и не знаешь к кому подходить, никто не захочет его выписать;Нехватка или сокращение врачей и медицинских учреждений;6
453;АО ПРО ТКО;Мусор/Свалки/ТКО;'[club175401227|Пермский региональный оператор ТКО], когда вы будете вводить раздельный сбор мусора в округах Пермского края?! В частности, в Ильинском и Чёрмозе?<br>По поводу необоснованного повышения тарифов за вывоз ТКО, понятно, надо обращаться в соответствующее Министерство. Это произвол! Разве не знали о непревышении 9%, и то с 1 декабря?! И даже повышение до 117 от 100 составляет 17%, а от 88,19 - аж 33%. Платить не будем, пока не будет соответствия постановлениям Правительства РФ, дабы не удовлетворять жадность.;Раздельная сортировка отходов;7
455;Город Пермь;Дороги;'Здравствуйте! Примите к сведению, пожалуйста.<br>В ужасном состоянии дорога по ул. Перевалочная (от Щербакова до Цимлянской), а также улица Лянгасова в промежутке от Франко до Веденеева. Ямы на яме, ездить невозможно.;Ремонт дороги;5
464;ИГЖН ПК;Дороги;"'УК Колибри и УК ЖЭУ1, вы разберитесь между собой, кто из вас должен чистить проезд от дома по Советскому проспекту 51 до дома по Ломоносова 66. Постоянная колея и застревание машин. К УК Колибри у меня вообще отдельный вопрос - может вы мне уже будете доплачивать за расчистку колеи на углу дома? Уже не в первый раз, а точнее, на протяжении всей зимы убираю слои снега на углу дома. Вот и вчера делала то же самое, а сегодня вдоль дома по Советскому проспекту 51 чистил трактор и все мои вчерашние труды, в том числе и срыв моей спины, как говорится ""коту под хвост"". В данном видео и фото всё очень хорошо видно.<br>VID_20220222_161703.mp4";★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;5
528;Город Пермь;Дороги;"'#9вопросовчиновникам<br>С 2018 года попросил пермских чиновников отремонтировать дорогу, прилегающую к развязке Чусовского моста со стороны бывшей переправы Адищево. Сначала просил Решетникова и Самойлова, теперь прошу Махонина и Дёмкина. Вы думаете за 5 лет чиновники заделали хоть одну яма в указанном проблемном месте? Нет, конечно, ни одной. Все эти годы присылали отписки в стиле ""денег нет но вы держитесь там"" а теперь и вовсе обнаглели: поставили знаки, ограничивающие скорость. На кой хер они на этой дороге, где глубина ям достигает 30 см и даже внедорожники едут по ней очень тихо на первой, боясь повредить подвеску. Все эти знаки для отвода глаз, мол, мы вас предупредили и если у вас отпали колёса то вы сами виноваты а не наша убитая дорога.<br>Согласна ответа чиновников денег нет на ремонт и искать их будут не раньше чем в 2025 году, да и то, если найдут. Спойлер (Не найдут) Куда идут наши налоги?<br>[id628987039|Алексей] и [id582714543|Дмитрий ]не пора бы уже починить эту дорогу нормально а не заниматься отписками и показухой?<br>Чусовской мост одно из самых проблемных мест в Пермском крае в плане пробок https://vk.com/wall521207710_24312";Ремонт дороги;10
535;Министерство здравоохранения;Здравоохранение/Медицина;'Здравствуйте! Меня зовут Батюкова Мария Игоревна. 28 октября этого года мы с мамой Батюковой Еленой Владимировной ехали на машине из Березников в Пермь. Попали в аварию, мама находится в реанимации города Добрянка. Компетентных врачей здесь нет. Нужна срочная госпитализация в Пермь. Состояние стабильно тяжелое. Минздрав ответа не дает. Ссылается на врачей города Добрянки. Прошу Вашей помощи разобраться в данной ситуации и ускорить госпитализации моей мамы в Пермскую больницу.;★ Просьбы о лечении;10
583;Бардымский муниципальный округ Пермского края;Благоустройство;'Доброе утро. Вопрос к администрации Бардымского округа, имея уличное освещение, утром не включают его в микрорайоне Гимназии, Цветочная, Подлесная. Чтобы включить пораньше свет вечером, приходится писать и просить обосновывать, чтобы его включили, для второй смены школы, которая пешком идёт домой в сторону поселка Юбилейный. Спасибо. Но Утром на работу идёшь в темноте с фонариком, в нашем районе много кто без машины идёт пешком на работу и не на автобусе, ведь едет, а именно пешком. Темно страшно собаки. Просьба есть включить свет уличного освещения в 6.20-6.30, в посёлке Юбилейном, Снега нет на улице, темень. Ладно хоть вечером, после всех переговоров начали включать, менять время программирования. Наверное это уличное освещение для населения делали, чтобы было им комфортно? Пишу здесь потому как обращалась писала, чтобы утром был свет, реакции от администрации никакой не было. Наверное это место последняя инстанция для решения вопроса об освещении.;★ Неисправные фонари освещения;7
618;Министерство здравоохранения;Здравоохранение/Медицина;'микрорайон Левшино входит в состав Орджоникидзевского района г. Перми и больницы на территории Орджоникидзеского района входят в состав больницы имени архангела Гавриила (ранее МСЧ 6). Конечно в настоящее время можно закрепиться за любой больницей, хоть в Москве, проживая в Перми, только как туда добираться на прием и как врач будет ездить на дом. Конечно состояние медицинских учреждений в Ордэоникидзеском районе оставляет желать лучшего.;Содержание больниц;8
655;Город Пермь;Благоустройство;'[7 пересланных сообщений]<br>Руслан Нурахметов, сегодня в 22:52<br>Здравствуйте<br>Руслан Нурахметов, сегодня в 22:53<br>Хотел бы поинтересоваться куда можно написать не довольствово на жкх по Орджоникидзевскому району, лёвшино.<br>Руслан Нурахметов, сегодня в 22:56<br>Какой год не могут кронировать деревья( подрезать ) деревья находятся в аварийном состоянии.<br>Руслан Нурахметов, сегодня в 22:57<br>На требования жильцов не реагируют не как, подвал находится в аварийном состоянии, текущие трубы.<br>Руслан Нурахметов, сегодня в 23:00<br>Просили заменить двери на пластиковые не меняют.<br>Руслан Нурахметов, сегодня в 23:01<br>Деньги собирают за кап ремонт башенные не чего не делают от слова совсем.<br>Руслан Нурахметов, сегодня в 23:02<br>Адрес Социалистическая 4;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников;8
680;Министерство здравоохранения;Здравоохранение/Медицина;'Здравствуйте. Мой сын Хлистунов Александр Денисович, 2004 г.р., ребенок-инвалид, получил вызов из Института им. Турнера (С-Петербург) на плановую операцию ВМП (сколиоз 4 степени). Госпитализация назначена на 18.02.2022 г. При поступлении необходимо обязательно иметь при себе документы, включая результаты УЗИ, справки от ЛОРа, гастроэнтеролога, аллерголога. Между тем, в настоящее время плановые приёмы отменены, и отменены наши записи на УЗИ и на приём отолоринголога на Екатерининской, 166 ,а без полного пакета документов госпитализация невозможна. Перенос даты госпитализации возможен только в случае болезни ребёнка при наличии подтверждающих мед.документов. Очереди на эту госпитализации мы ждали более 2 лет. Прошу сообщить, куда именно мне обратиться для решения вопроса о проведении исследований с выдачей результатов и получения заключений узких специалистов до 15 февраля 2022 г.;Профильный осмотр;5
710;Министерство здравоохранения;Здравоохранение/Медицина;'[club171875648|Министерство здравоохранения Пермского края], ответ на вопрос так и не получен!!! В Чермозе фельдшер ведет прием, спасибо ей огромное!!! Но ведь не все вопросы в ее компетенции. Нужен ТЕРАПЕВТ! Не всегда есть возможность взять отгул и поехать в Ильинский на прием.;Нехватка или сокращение врачей и медицинских учреждений;5
725;Лысьвенский городской округ;Благоустройство;"'Добрый утро, Никита Львович. Обращаюсь к Вам с просьбой. Днем 25.04.2022 произошел неприятный случай. Во время игры на специально оборудованной площадке ""Юность"" ул.Мира 34 (дети там играют в волейбол) мяч вылетел и попал на территории частного жилого дома гражданина Шостина Ю.О. ул.Садовая д.21. По просьбе играков в том числе и моего сына вернуть мяч Шостин Ю.О. отказал. Сказав, что отдаст мяч только через полицию так как это уже не первый случай попадания мяча на его территорию. Мы выполнили его просьбу и обратились в полицию. И вот мяч у нас 28.04.2022. Но мы потратили много нервов, времени и сил.<br>Так как пришлось отправшиваться с работы и из школы для дачи показаний. И это не первый случай на этой площадке. Во избежание подобных ситуаций в будущем просим Вас принять меры по установке на волейбольной площадке дополнительной защитой сетки (сетку-потолок), что позволит исключить попадание мяча на жилую территорию, а также на проезжую часть Проспекта Победы. Дети смогут спокойной играть, заниматься спортом, а не бездельно слоняться по городу. Заранее благодарю за Ваши действия. PS: вчера 30.04.22 наш мяч снова во время подачи улетел на территории частного жилого дома Шостина Ю.О. Прошу Вас, помогите пожалуйста нам решить эту ситуацию без обращения в полицию.";★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке;7
775;Лысьвенский городской округ;Благоустройство;'Поступило обращение от жителей Лысьвенского городского округа поселка Кормовище о том, что по адресу: Пермский край, Лысьвенский городской округ, поселок Кормовище ул. Советская д 39, на территории детского сада не скошена трава по всей площади.<br>Нашей командой написано обращение в Управление образования Лысьвенского городского округа;Уборка территорий;7
824;Министерство здравоохранения;Здравоохранение/Медицина;'У нас больничный городок сделали в Комсомольском.Больница там с ковидным отделением,городок Лысьва считают не большой , и не сделать приём там же в больнице?Как на примере нам сделали Женскую консультацию при роддоме,травматологию при хирургическом отделении?<br>А вопрос то решён с теми которые не могут попасть по записи к своему участковому врачу и шли доврачебной кабинет?Зато сделали платную клинику при городской поликлиники.И как самому человеку определить,если у него без симптомно протекает ковид,просто плохонько чувствует человечек себя и идёт к своему врачу?Сейчас все ходят с ОРВ. Как эту грань определить? Если вы убрали карантинный срок с ковидом даже эти 14 дней и они самостоятельно ходят в больницу,ездят на общественном транспорте,по магазинам,у остальных членов семьи и с кем они близко последнии дни контактировали не проверяете,они так же ходят на работу,а дети в учебные учреждения (а может у них в лёгкой форме всё протекает).Дурдом.Нашему государству выгодно когда мы болеем,это ведь такие деньги крутятся.<br>В декабре я заболела,вызвала врача,чтобы не сидеть с больными ковидом(эту болячку уже хапнула в 2020 году и больше не хотелось).Приехали,взяли мазок(показал отрицательно слава богу),лечение назначили и назначили день приёма(но у меня так получилось,что я сама записывалась до болезни к врачу).27 декабря сходила на приём,врач сразу сказала,что записи ни куда нет ПОКА(да их ни куда нет,я уже несколько месяцев не могу записаться к невропатологу.Чтобы куда то записаться,это просто хождение по мукам.Ещё в добавок потеряли у нас с мужем все результаты после обследования диспансеризации,как болевшие с ЛЕТА),и к ней на приём тоже записи на 10/01 нет,а на 11/01 записывайтесь сами,но в порядке очереди нельзя(это я болею).И я только записалась на 27 ЯНВАРЯ,МЕСЯЦ!Вот интересно,если у меня был больничный как врач мне продливал его,а если я домахозяйка значит сами как хотите лечитесь и записывайтесь к врачу.<br>Чтобы записаться врач.ру это стала не возможно,ни какой слаженности,кое как по телефону записалась,время выкладывают как попала,каждый вечер сидишь в 21:00 и смотришь в пустой график,а потом раз и он заполнен на всю неделю.<br>Всё конечно устали,это понятно.Но надо думать о народе,о комфортном лечении и обслуживании.Надо черпать с других областей полезные действия.А у нас всё как то на изнанку.;Технические проблемы с записью на прием к врачу;5
