;Исполнитель;Группа тем;Текст инцидента;Тема;num_ner
6149;ИГЖН ПК;ЖКХ;'У меня будет жалоба по УК «территория партнерства» по Гусарова,13<br>При организации детской площадки УК должнаа была оплатить 50% работ по оборудовании площадки ( кроме ) субсидии. Обсуждали со старшей по дому, Обориным. С жильцами дома Гусарова,13, Встречались трижды с УК, у них в компании.<br>Передали им часть счетов на оплату забора и др оборудования. Кроме этого ,<br>по содержанию этой территории они планировали участвовать в содержании площадки.<br>Зима прошла, никаких движений нет. Я обращалась к Оборину.<br>В УК одни разговоры — зачем забор? А нам вообще нельзя здесь без забора, здесь опасно ходить детям, проблема проезда к 11 домам двум д/садам и школе — я все писала в адм. Это вы тоже в курсе. Видели фото и обсуждения.<br>Поэтому сейчас планируется встреча по вопросу, как уменьшить поток машин, изменить нагрузку на дорогу, наш двор. Пока нет решения, мы ждем.<br>В адм я направляла письмо, что второй альтернативный проезд между школой и Тбилисской, 25 заужен. Просила разобраться, чтоб не все машины проезжали у нас во дворе, внутридворовой проезд стал автодорогой.<br>Пока вопрос никак не решается. Я написала депутату Оборину и Дмитрию Бондарю — что пока вопрос не решается площадка не может работать в полную силу. Мы пока закрываем ее. Они в свою очередь написали обращение в адм и что ТСЖ Гусарова 11 готово просто закрыть и проезд и площадку для привлечения к этому вопросу адм.<br>Также ждем решения УК, помощи депутатов разгрузить нашу дорогу методами — перенос калитки, восстановление второго проезда. Обещали встречу, заседание готовится.<br>Нужно как-то разгружать наш проезд — это и шум, и опасность.<br>То что написали на сайте — понятно, чем я могу помочь детям, только тем, что буду настойчиво требовать участия общественности. Пишу письма, обращения, ДГА пишет что проезд есть второй перед школой. Но по факту его нет. Вот эта переписка длится два года.<br>Может действительно нужно закрыть проезд и ждать решения. Тогда появятся решения.<br>А пока ответственность за жизни всех несет ТСЖ. И мы сопротивляемся не попасть под общие мнения и пасквили.<br>Сейчас с 18 апреля у нас еще хуже стало в смысле движения — двигаются камазы автопогрузчики — ликвидируют гаражи Тбилисская, 21,23, да так безобразно, сломали ограждение. Дети под колеса бегут им не понятно, что опасно. Родителей нет рядом. И я написала в адм, позвонила Хузягулову, в ответ это не наши работы.<br>Как не ваши, это ваш район, защитите нас! в ответ тишина.<br>Вот пока такая ситуация - мы вообще ничего не можем открыть. Ждем встречу, и решений по альтернативному проезду, по финансовому участию УК Территория партнерства, участии в содержании и по организации транспорта дет/сада (изменение размещения калитки)<br>Много написала, но как умею. Может вы сможете активировать администрацию к этому вопросу.<br>Спасибо.;Жалобы на управляющие компании;17
6393;Город Пермь;Дороги;'С последних снегопадов прошла уже почти неделя, но многие улицы Мотовилихинского района так и не почищены, техника попросту не заезжала. Люди устали выбираться из снежного плена. Ул. Былинная микрорайона Пихтовая Стрелка переметена полностью, техника экстренных служб ни когда не доберется до нужного адреса. Не понимаю ответы администрации о том, что не хватает техники. Алексей Николаевич @demkin_an почему забирает контракт по содержанию дорог подрядчик, у которого 1 единица Т-150 для чистки территорий ИЖЗ (говорю про Мотовилиху). Председатели ТОСов частного сектора ежедневно умоляют выйти технику на свои территории. Согласен, в районах города ситуация различна, но в целом оценка жителей крайне неудовлетворительна! Подрядчик по содержанию дорог в Мотовилихинском районе работает не первый год и прекрасно понимает площади территории ИЖЗ и вполне мог спрогнозировать такую ситуацию, и принимать меры заблаговременно. Кроме этого, сегодня утром, развозя детей в школы, по многим второстепенным дорогам района ситуация не лучше, чем в частном секторе. Улица Металлистов, техники не было больше 2х недель итог 1 полоса снежной каши, улица Старцева (подъезд к гимназии №2 не чищена, газель не могла разъехаться со встречными автомобилями, итог 30 минут ехали 100м. Честно говоря терпение закончилось. Как Председатель Лиги территориально общественных самоуправлений города Перми выражаю крайне негативную оценку в уборке снега в городе и в частности в Мотовилихинском районе. Всем здоровья и терпенья!<br>#Пермь #мотовилиха #снег #дороги #ТОС #ТОСПермь #зима @pikhtovaia @motoviliha_official @vmeste.pk @admperm;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;12
6918;Город Пермь;Дороги;'В Сосновом бору проблема не в съезде на Якутскую и Докучаева, а наоборот. В принципе, и сейчас при движении из центра многие выезжают на Якутскую с обеих полос без особых проблем.<br>Самая большая проблема – при движении в центр. На Якутской две полосы, по которым большая часть трафика – в центр, а на дорогу Дружбы и Докучаева поворачивает меньшинство. На кольце машины с двух полос должны встроиться в одну, что и приводит к хаосу и ДТП на кольце. Поэтому очевидных решений здесь всего два, и они оба абсурдные:<br>1. сузить Якутскую в направлении центра до одной полосы, чтобы вклиниваться в поток было неоткуда<br>2. расширить путепровод над горловиной Блочной в направлении центра до трёх полос, чтобы трафик с двух полос Якутской и одной полосы Докучаева не конфликтовал<br>Вариант 1 более реален, конечно (держим в уме тот факт, что на Якутской вообще-то должна быть выделенка), но тогда надо уделять внимание безопасности движения там, где выделенка будет начинаться (на кольце перестроения происходят на относительно небольших скоростях, на прямом участке Якутской же они будут происходить на 90 [+19] км/ч. Вариант 2 упирается в то, что Спешилова всё равно сужается до двух полос после остановки Луговая (а ещё это очень дорого и долго).;Строительство или реконструкция дорог;14
7127;Министерство здравоохранения;Здравоохранение/Медицина;"'Отправлено в Минздрав ПК 03.02.2022 REP44-100360648<br>Несмотря на указания Министерств здравоохранения РФ и Пермского края, в Городской детской поликлинике №3 (г. Пермь, Орджоникидзевский район) отказываются брать повторный анализ на COVID-19 у дочери на дому.<br>Дочь 14 лет заболела 24.01.2022 с температурой 37,5 град. Утром в понедельник вызвали врача, врач пришел только во вторник, взял анализ на COVID-19. Положительный результат получили 30.01.2022 через Госуслуги.<br>30.01.2022 обратились в ГДП №3 (284-42-48 на регпортале медуслуг), там сказали ждать бригаду в течение 3-х дней для забора повторного анализа и получения бесплатных лекарств.<br>К 03.02.2022 никто не приехал. По телефонам 284-42-48, 8-9519424479 отправляют на выписку в больницу на Веденеева 80.<br>В данный момент в семье из 3-х человек болеют дочь и жена с подтверждением по COVID-19. Жена ждет врача на повторный анализ.<br>Мне 65+, есть симптомы COVID-19 в нетяжелой форме, лечусь сам, не беспокою врачей.<br>Детская больница на Веденеева 80 не в шаговой доступности (от Левшино ""Новые дома""), надо ехать на общественном транспорте, что невозможно в нашем состоянии.<br>Такое здравоохранение гарантирует либо осложнения, либо летальный исход.<br>Прошу выслать медицинского работника для забора анализа на COVID-19 у дочери (Пермь, Делегатская, 43-116).<br>Мишарин Юрий Валентинович +79129809890";★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;14
7213;Министерство социального развития ПК;Связь и телевидение;'Здравствуйте! Почти каждое министерство страдает безграмотными текстами.. Я всем деликатно пишу в личные сообщения об ошибках. Почти никто не исправляет! Стыд и позор читать. Министерство культуры, транспорта, соцразвития... Просто ужасно. Может, как-то повлияете на проблему?<br>> ['\U0001f973 \xa0Решение реализовать проект «Кадетское образование для детей-сирот» на базе детского дома было принято в 2007 году. Тогда сорока пяти мальчишкам и девчонкам вместе с педагогами предстояло сделать первые шаги.\n\xa0\nЭто было начало. Педагоги с детьми осваивали не только общеобразовательные предметы, но и подбирали программы специальных кадетских дисциплин. Ребята занимались строевой подготовкой, знакомились с военной историей России, учились собирать и разбирать оружие, на время заполняли магазин автомата патронами. Это была не детская игра в войнушку, а кадетские будни. Первые воспитанники вместе с педагогами закладывали основы будущего учреждения. Вместе с этим, зарождались традиции, которым воспитанники верны и сегодня.\n\xa0\nВ 2009 году команда кадет показала первые результаты на соревнованиях по военно-прикладным видам спорта, ребята соревновались на уровне кадетских учебных заведений Пермского края. В 2010 году кадетское отделение - участник парада в честь 65 победы в Великой Отечественной войне. Торжественным маршем они прошли в едином строю с кадетскими корпусами, воинскими частями города по центральной улице Ленина.\n\xa0\nВ этом же году сложилась еще одна добрая традиция - лучшие кадеты несли вахту памяти на Посту №1 у памятника Уральскому добровольческому танковому корпусу. \xa0А еще 2010 год вписан в историю учреждения первым выпуском кадетов и первыми поступлениями в Елабужском суворовском училище и Санкт-Петербургском кадетском корпусе.\nВ 2011 году первый выпускник кадетского отделения получает среднее общее образование и становится курсантом Пермского военного института. За 15 лет к клятве кадета были приведены 306 мальчиков и девочек, центр кадетского воспитания закончили 230 ребят.\n\xa0\nВ день Победы 9 мая, ребята - участники торжественных мероприятий города Перми, несут вахту на Посту №1. В августе - кадеты участвуют в полевых сборах, где оттачивают свое спортивное мастерство и готовятся к участию в соревнованиях «Спортивный Олимп».\n\xa0\nЕсть еще одна традиция, без которой не существует жизнь кадета - это участие в творческих коллективах и победы в фестивалях и конкурсах. Заседание интеллектуального клуба, участие в интеллектуальной игре «Умники и умницы» - в 2021 году команда «Знатоки» стала победителем турнира в Приволжском федеральном округе. Спортивные достижения известны не только в Пермском крае, на фестивале спортивный Олимп неоднократно зажигались спортивные звезды настольного тенниса, шашек, футбола.\xa0\n\xa0\n- Пятнадцать лет коллектив педагогов и наставников прививает выпускникам истинные ценности и поддерживает традиции кадетства, - говорит министр социального развития Пермского края Павел Фокин. - Самая главная из них - это нерушимое, объединяющее всех вас кадетское братство. Верность девизу - «Быть, а не казаться!», служит жизненным ориентиром для выпускников и в дальнейшей жизни. Поздравляю всех с этим знаменательным событием. Желаю всем здоровья, уверенности в своих силах, новых свершений. А ребятам - гордо и с честью нести звание кадета!\n\nО том, как прошло празднование, в видео.'];★ Информационно-техническая поддержка;15
7354;ИГЖН ПК;ЖКХ;"'Доброе время суток! Прошу провести проверку по факту отключения электроэнергии в жилой квартире, расположенной по адресу: 614031, г. Пермь, ул. Докучаева, д. 42,кв.53 в период с 27.06.22г. по 02.08.22г. Имеются акты отключения и подключения электроэнергии. Фактически электроэнергия подключена 02.08.22г. после проверки Инспекции жилищного надзора г. Перми и выдачи Предписания о незаконном отключении электроэнергии в квартире. Соглашение о рассрочке по оплате долга ТСЖ согласовали и подписали только после проверки Инспекции жилищного надзора г. Перми и подключения электроэнергии в квартире , а именно после 02.08.22г. В июле приходилось ездить на дачу за город, так как в квартире не было возможности приготовить пищу, а по приезду в город кушали в кафе рядом с домом. Считаю, что подобные действия незаконны со стороны ТСЖ ""Времена года"". Кроме того, 14.10.22 г. при осмотре канализационного стояка слесарь ТСЖ "" Времена года "" обнаружил заглушку, которая препятствовала стоку воды в ванной. Считаю, что подобные действия со стороны ТСЖ являются ""Самоуправством"", а также "" Злоупотребление должностными полномочиями "". Никаких прав на ограничения слива воды в стояке у ТСЖ не имеется.";Жалобы на управляющие компании;11
7510;Лысьвенский городской округ;ЖКХ;'Добрый день ! У меня просто крик души! Я из г.Лысьвы, Пермского края. Сложилась следующая ситуация: с субботы 17.12.2022 года отсутствует водоснабжение по улицам частного сектора Озерная, Ишмухаметова и Первомайская. При обращении в диспетчерскую службу МКП МО «ЛГО «Лысьвенский городской водоканал» по телефону (834249)6-07-51 дан был ответ, что колодец, в котором прорвало трубу на ул.Шмидта находится не на балансе, т.е. городу он не принадлежит, но и документов о том, что он принадлежит нам (людям) тоже нет. Предложили собирать деньги и восстанавливать трубу за свой счёт. Ответственность за обслуживание и ремонт данной сети МКП МО «ЛГО «Лысьвенский городской водоканал» с себя снимает. Обращались в администрацию города - сказали, что проблема будет решена. Но воды до сих пор нет. Подвоз воды был организован всего один раз 18.12.2022 года. Мы сидим без воды. Как так? Деньги за водоснабжение мы платим исправно. Дмитрий Николаевич, просим помочь разобраться в создавшейся ситуации и решить наш вопрос по возможности в кратчайшие сроки. 🙏🏻🙏🏻🙏🏻;Отсутствие холодной воды;11
8265;Город Пермь;Общественный транспорт;"'Думаю вам стоит обратить внимание на этот вопиющий случай халатности работников транспортной компании!<br>> ['Здравствуйте - будьте ЗДОРОВЫ вы и ваши дорогие и близкие! Извините меня за то, что напугала вас вчерашним постом, это был крик души. Сегодня, когда всё немного устаканилось, напишу что произошло. Вчера мой муж Александр Владимирович, как обычно к 8 утра поехал на работу на Парковый. Сел в 74 автобус машина № 131, около 9 утра позвонил мне из автобуса, я поняла, что Александр не представляет сколько времени и где он находится. Перезвонила через пару минут, Александр уже отвечал только ""угу"" и вызов прервался. На мои звонки муж не отвечал. Не буду расписывать что было до примерно 10-40. Кратко: полиция прозванивала телефон Александра, который не отвечал, на просьбу пробить местонахождения телефона и выслать наряд к предполагаемому месту нахождения - остановка ""кинотеатр Темп"" мне ответили отказом; диспетчер перевозчика 74 маршрута обзванивала водителей, узнавала не было ли конфликтного пассажира, так как со слов Александра его в грубой форме высаживали из автобуса (он успел мне это сказать во время первого звонка, а я сама нашла телефон диспетчера фирмы перевозчика и рассказала ей что произошло). Когда диспетчер ответила, что конфликтов в 74 автобусах утром не было, я попросила её сказать водителям, чтобы посомтрели нет ли в салонах высокого мужчины в чёрном пуховике, и в очках, которому требуется срочная медицинская помощь. И Александра нашли! Скорую работники перевозчика вызвали в 10-30!!! Когда я зашла в салон автобуса, кондуктор спросила ""это ваш?, а мы его катаем прямо с утра"", на мой вопрос ""почему не вызвали скорую уже давно, ведь человек не реагирует ни на что, стоит белее полотна"", ответила ""скажите спасибо, что не высадили"", в салон вошёл работник ""скорой помощи"", при ней кондуктор начала говорить,что пассажир недавно сел в автобус. Сейчас Александр в больнице, сегодня ему гораздо лучше. Я отвезла заявления в прокуратуру и полицию Дзержинского района, Управление транспорта г. Перми, Роспотребнадзор. Для чего, вы можете спросить. Моего мужа почти три часа возили в автобусе, он не выходил на конечных, не отвечал на вопросы кондуктора, его состояние ухудшалось с каждой минутой! Около 8 утра автобус был на конечной ""Маяковского"", почему кондуктор тогда в 8 утра не вызвала скорую, полицию? почему ждала звонка диспетчера, ведь она видела Александра, взрослая женщина не могла не понимать, что с ним неладно!!! Я не нашла билет, купленный за наличку, я очень опасаюсь, что сотрут запись с видеокамер, но даже если они отмажутся, я верю, что этот пост дойдёт до всех участников вчерашнего происшествия! Милая девушка - таксист, машина чёрная Лада номер 431!!! Я не успела Вас поблагодарить!!! Спасибо огромное! Будьте все здоровы, обращайте внимание на тех, кто рядом! Не бойтесь предложить свою помощь, это может спасти кого-то. Всех со Старым Новым Годом!']";Некорректное поведение водительского состава;14
8942;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый день! Обращаюсь к Вам за помощью о защите прав здоровья! В октября 2021 г. (находится по сей день) из г. Березники Пермского края, в ГБУЗ ПК Клинический фтизиопульмонологический медицинский центр по адресу Ш.Космонавтов 160 г. Перми, поступила моя сестра Кирякова Светлана Николаевна 1971 г.р с соответствующем диагнозом, проблемы с лёгким, в очень плохом состоянии. Первые месяцы лечение было отличным состояние стабилизировали, речь даже шла о выписке по месту проживания. После январских праздников, при обследовании на ренгене, лёгкое пришло в норму, состояние стабильное. Лёгкое распрямилось, всё хорошо. Убрали дренаж, поставили шприц-гармошку. Через две недели, при повторном ренгене результат оказался плачевным, лёгкое порвалось. Со слов врача, слишком рано поставили, люди с таким диагнозом лежат годами.От этой новости у сестры поднялось давление, повысился сахар, человек расстроен, состояние ухудшилось.Убрали шприц, поставили опять дренаж. Лечимся дальше. 22.02.2022 г. после обследовании на КТ, результат ещё плачевней, лёгкое опять свернулось, надо ставить клапан. 24.02.2022 г. клапан не поставили т.к. не подошёл по размеру. Сестре сказали, что надо ждать, когда закажут новый, ( мы бы сами купили, но сумма 25.000 рублей, наша семья такими денежными средствами не располагает). Мы все расстроены. Лечащий врач обвинил мою сестру в том, что она этот клапан сама выплюнула, тем самым испортила. Сегодня 25.02.2022 г. при утреннем обходе, при вопросе моей сестры какое лечение будет дальше, получила ответ, никакого, спросите у своего организма. У сестры опять давление, сахар. полная депрессия, появилось нежелание жить( а у неё 4 детей, двое из которых несовершеннолетние). Лечащий врач ни чего не объясняет, появились оскорбления в адрес пациентов, которых он лечит. Что делать дальше, как её лечить и где незнаем? Помогите.<br>Лечащий врач Степанов Сергей Анатольевич не корректно относиться к пациентам, не компетентен в своей работе (это моё мнение, как человека.) Врач должен лечить, спасать, помогать людям.<br>ЭТО МОЛЬБА О ПОМОЩИ, ПОМОГИТЕ!!!!!!!!!!!<br>С Уважением Доних Елена Николаевна.<br>8-950-44-39-967<br>elenadonih@yandex.ru;★ Просьбы о лечении;11
9506;ИГЖН ПК;ЖКХ;"'Здравствуйте, Дмитрий Николаевич . Прошу Вас проверить правомерность принятия решения о передачи дома № 77 по улице 2 Коммунистическая, РП Углеуральский, из Управляющей компании ИП Значковский Э. Н., находящейся по адресу г. Губаха, ул. Павлика Морозова, д. 16 в Управляющую компанию ООО «УК Прикамский дом», расположенной в городе Лысьва. Генеральный директор Колегов Константин Дмитриевич.<br>Жителей нашего дома о передаче дома в УК « Прикамский дом» известили 2 декабря 2022 года и сообщили что, по вине жителей и собственников жилья, о несостоявшемся собрании о выборе Управляющей компании.<br>О проведении собрания собственников жилья и никто из жителей дома не был предупрежден. Извещения собственникам жилья о проведении общего собрания о выборе управляющей компании предоставлены не были. 2 декабря 2022, по инициативе собственников жилья и жителей дома, общим собранием вынесено решение решения о выборе управляющей организации «ИП Значковский», расположенной по адресу; г. Губаха, ул. Павлика Морозова, д. 16, в целях заключения с ней договора управления, правомерность утверждения условий этого договора и его заключения, в многоквартирном доме по адресу: г. Губаха, РП Углеуральский, ул. 2 Коммунистическая, д.77<br>Указанные решения Управления жилищного - коммунального хозяйства и строительства при Администрации Губахинского района жители и собственника жилья считаем незаконными по следующим причинам:<br>- не было проведено собрание собственников жилья; - по утверждению Целищевой Екатерины Дмитриевны главы Управления жилищно -коммунального хозяйства и строительства при Администрации Губахинского района, собрание не состоялось, якобы по причине не явки собственников жилья на собрание (а как они могут явится не зная о проведении собрания); - со слов Целищевой Е.Д.: собрание проводилось во время ее рабочего дня, когда работоспособное население находилось на работе; - собрание не поводилось, потому что не было оповещения (объявления) о проведении собрания, указания места проведения собрания и о выборе способа голосования (очное, очно – заочное).<br>В настоящее время, управляющая компания ОО»УК «Прикамский дом», не имея в своем штате работников, для обслуживания жилого фонда, взятого в управление в РП Углеуральский, издал такой документ, где указал номера телефонов аварийных служб города!? (газовая служба, МУП «Водоканал Углеуральский», МБУ «Тепловые сети Углеуральский; Электросети).<br>В результате с 02.12 2022 придомовая территория содержится недопустимым образом, а именно: двор утопает в снегу, так как, ни разу не проводилась уборка снега. В доме проживает большое число пенсионеров, к нашему дому не сможет, подъехать ни скорая помощь, ни аварийная служба.<br>Мы, жильцы дома не получаем в полной мере коммунальных услуг по содержанию жилья, за которые мы должны будем платить.<br>Просим вернуть наш дом, находящийся по адресу г. Губаха, ул. 2 Коммунистическая 77, обратно в управляющую компанию ИП Значковский Э. Н., так как считали работу этой компании удовлетворительной.<br>Старший по дому:<br>Метёлкин Александр Васильевич";Жалобы на управляющие компании;31
9947;Город Пермь;Дороги;"'В мороз по лужам. В микрорайоне Юбилейный не могут решить вопрос затопления ул. Суздальской<br>В Перми в микрорайоне Юбилейный затопило окрестности школы № 82. Дети, чтобы попасть на уроки, вынуждены буквально форсировать водную преграду. Казалось бы, обычное дело, где-то прорвало трубу. Но, как оказалось, это не так. Буераки, реки, наледь - руки, ноги береги. На Суздальской улице разлив вот такой ширины. К 82-й школе, не примочив обувь, не подойти. Родители, встречающие детей, возмущены. Рядом с образовательным учреждением расположена конечная остановка общественного транспорта и так называемый отстойник для автобусов.	Алексей Белослудцев, водитель автобуса: ""Очень некомфортно, но на самом деле, сейчас может просто стащить на автобус и всё… будет ДТП"". Учитель технологии Игорь Баранин рассказал, что проблема с затоплением появилась не вчера. Летом было то же самое, но минусовая температура внесла свои коррективы. Причина всех бед, по имению мужчины, кроется в частном секторе и зарытых ливневых стоках. Раньше было три колодца – остался только один.	Игорь Баранин, учитель технологии в школе №82: ""Недобросовестные жители сливают, но это надо решать другим путём, администрации. Это надо уже наказывать ходить, Роспотребнадзор, полиция. А не таким радикальным методом: убрали колодец - и всё"". Ретроспектива одного из стоков. Снимки с 2012-го по 2021-й. Рядом с ним всегда лужа. Потому подобное нынешнему водному происшествию на перекрёстке улиц Суздальской и Запорожской случалось и раньше. В декабре прошлого года мороз полностью сковал проезжую часть.	На портале «Управляем вместе» администрация Свердловского района ещё в октябре отреагировала на возмущения жителей. Провела обследование, которое показало, что всему виной водоотведение частного сектора, но от этого знания легче и суше, пока не стало. Игорь Давлетшин, и.о. первого заместителя главы Свердловского района города: ""Почему все-таки история так подзатянулась, потому что когда мы брали анализы, для этого привлекали инспекцию по природоохранной деятельности. Инспекция показала, что стоки достаточно чистые. Сейчас, убирая все утечки водопровода новогоровского, мы понимаем, что эти стоки стали грязнее. Ниоткуда эти стоки взяться не могут, увести их в ливневую канализацию не представляется возможным"". В итоге самый надежный выход – это строительство централизованной системы водоотведения, когда – уже другой вопрос. Поэтому сейчас будут вестись поиски того или тех, кто сливает всё это дело в канаву, а снежную кашу и лёд у 82-й школы пообещали убрать в ближайшее время. Жители уже давно обращаются с вопросом затопления улицы Суздальской, но все их чаяния, как бумажный кораблик, просто плывут по течению. Хотелось бы, чтобы он уже нашел ту самую «гавань», где наконец-таки решат их проблему.<br>Источник";Подтопление автомобильных дорог;15
9960;Министерство здравоохранения;Здравоохранение/Медицина;'В Филатово с лета отсутствует медицинская помощь, так как не работает ФАП. Жители вынужены по луюбым вопросам ездить в Ильинскую ЦРБ. Проблема в том, что автобусы между Филатово и Ильинским ходит только утром и вечером, за исключением среду, а в выходные вообще не ходят. Чтобы попасть на прием к врачу люди вынуждены целый день проводить в Ильинском распространяя свои бациллы и приобретая новые, что в условиях новой коронавирусной инфекции вообще не допустимо<br>. Требуем введения дополнительных маршрутов Филатово - Ильинский до момента, пока не заработает ФАП. Если на это нет денег, то предлагаю их взять у главрача Халдина - он здорово экономит на отоплении в ФАП и на зарплате отсутствующего фельдшера.<br>Отсутствие положительного решения администрации как по этому вопросу, так и по вопросу облегчения доступа жителей к медицинской помощи, позволит предположить в наплевательской отношении администрации к жизни и здоровью жителей, что идет вразрез с поручениями президента, правительства и губернатора, да и вообще некрасиво.;Нехватка или сокращение врачей и медицинских учреждений;11
