;Unnamed: 0;Исполнитель;Группа тем;Текст инцидента;Тема;num_ner;letter
45;1539;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый вечер, обращается к вам Буторина Ирина Васильевна, внучка ветерана тыла- Нетелевой Валентины Евстегнеевны, возраст которой девяносто лет, с жалобой на врача приёмного покоя Больше Сосновской больницы, сегодня 04.09.2022 года бригада скорой помощи привезла бубушку в больницу, но в госпитализации врач отказал, ещё накричал на фельдшера скорой помощи, с претензией - зачем привезли бабушку, так как температура нормальная и давление, но у неё отдышка, она задыхается, сильный кашель, который затрудняет дыхание. С такими симптомами она этой зимой целых двадцать дней отлежала в больнице в городе Чайковский под наблюдением врачей и постоянным лечением, диагноз бронхит - осложнение после Ковида, а сегодня её взяли и отправили домой, и чтобы она шла на приём к терапевту, кому как не медицинскому работнику знать, что сейчас вновь рост заболеваемости Ковид и бабушка находится в самой в группе риска поэтому заболеванию, ей ещё нужно добраться до Большой Сосновы, тк проживает она в Деревне Развилы, выждать огромную очередь с больными прошу принять меры.<br>Жду обратной связи мой телефон +7 922 306 32-53 электронная почта ilvei@mail.ru<br>Завтра вновь будем вызывать скорую, а может и ночью придётся это сделать.;Ошибки врачей, халатность;9;"Уважаемые представители Министерства здравоохранения!

Я обращаюсь к Вам от имени Буториной Ирины Васильевны, внучки ветерана тыла Нетелевой Валентины Евстегнеевны, которая была доставлена бригадой скорой помощи в Большую Сосновую больницу, однако врач приёмного покоя отказал в госпитализации, а также накричал на фельдшера скорой помощи. По словам бабушки, у нее наблюдаются симптомы, которые могут указывать на бронхит — осложнение после Ковида, но врач отказался госпитализировать ее. Кроме того, бабушке приходится жить в деревне Развилы, где она вынуждена ждать очереди с больными.

Прошу Вас принять меры для устранения данной проблемы. Требую предоставить план действий, направленный на решение данной ситуации.

С уважением,
[ФИО]"
46;1562;ИГЖН ПК;ЖКХ;'[id713028441|Галина], да... кормушка там хорошая. Все Березники разваливают. Мэр города Березники Светлаков на все глаза закрывает. Посмотрите, что творится на Тельмана 10. В 3 подъезде сделали ремонт. Никто не контролирует. А какие деньги с жильцов собирают. Идиоты. Гнать надо управляющую компанию. Светлаков обращаюсь к вам, как к хозяину города Березники. Сходите и дайте оценку такому ремонту. Не можете сами проверить, отправьте специалиста с отдела контроля. Или вы народ совсем ни во что не ставите, только поборы собирать умеете. Очень прошу, проверьте, как идёт ремонт в подъездах.;Ремонт подъездов;7;"Здравствуйте, уважаемые представители ИГЖН ПК!

Я обращаюсь к вам от имени Галины, которая поделилась со мной информацией о проблеме, связанной с ремонтом подъездов в городе Березники. Она утверждает, что в одном из подъездов на улице Тельмана 10 был сделан ремонт, однако никто не контролировал процесс его проведения. Кроме того, жильцы утверждают, что с них собирали деньги за этот ремонт, но неизвестно, были ли эти средства использованы по назначению.

Мы требуем предоставить план устранения данной проблемы и обеспечить контроль за проведением ремонта в подъездах. Мы считаем, что такие ситуации недопустимы и должны быть решены незамедлительно.

Просим вас принять меры для решения этой проблемы и сообщить нам о дальнейших действиях.

С уважением,
[Ваше имя]"
47;1618;Город Пермь;Безопасность;"'#9вопросовчиновникам<br>А вот та самая лохматая троица которая несколько дней назад напала на меня на пересечение улиц Лифанова и Барбюса. Чиновники обещали решить проблему:<br>""Добрый день. Вы обратились в аккаунт главы города А.Н. Дёмкина. Муниципальным казенным учреждением «Служба по обращению с животными без владельцев» в феврале и марте 2022 года были осуществлены выезды бригад по отлову по данному адресу. По результатам проведенных мероприятий безнадзорных животных была отловлена 1 собака.<br>За 2022 год поступила 1 заявка с ул. Лифанова 2/1.<br>Повторный выезд будет запланирован на 5 апреля.<br>В случае обнаружения животных без владельцев на территории города Перми и для организации эффективных выездов бригад ловцов муниципального учреждения просим сообщать дополнительную информацию о количестве, внешних особенностях и времени нахождения животных без владельцев на определенной территории. Информацию о необходимости проведения отлова животных<br>без владельцев принимает диспетчер учреждения по телефону 263-14-94 и электронной почте otlov.perm@mail.ru, а также сотрудники управления по экологии и природопользованию администрации города Перми по телефону 212-94-28. В выходные и праздничные дни информация о местах нахождения безнадзорных собак принимается по телефону 8-904-842-31-76.""<br>Но собаки все ещё тут.<br>[id628987039|Алексей] не пора ли по настоящему решить вопрос с бродячими собаками законным путём? Или будем ждать пока от отчаяния народ не устраняют проблемы незаконным путём?";Отлов безнадзорных собак и кошек;7;"Здравствуйте! Я обращаюсь к вам от имени модератора с просьбой решить проблему с безнадзорными собаками на улице Лифанова, 2/1 в городе Пермь. Недавно было обещано, что муниципальное учреждение ""Служба по обращению с животными без владельцев"" проведет выезды бригад по отлову животных, однако проблема остается нерешенной. Прошу вас запланировать повторный выезд на указанный адрес и принять меры для устранения данной проблемы."
48;1804;Александровский муниципальный округ Пермского края;Дороги;'БУДЕТ САДОВАЯ РОВНОЙ<br>В редакцию обратилось несколько наших читателей с жалобой на состояние проезжей части улицы Садовая в микрорайоне Залог, там, где кончается асфальт, проехать можно только на внедорожнике. Многочисленные ямы и рытвины напоминают воронки после бомбежки, а в непогоду дорога превращается в еще больший кошмар. Местные жители пытаются бороться с этой проблемой самостоятельно, заваливая самые опасные выбоины травой, но это не спасает положение. Даже вездесущие таксисты отказываются брать заказы на Садовую. Проблема обостряется с началом посадочного сезона, когда садоводы массово устремляются на свои участки. С вопросом, какие меры принимаются по приведению улицы в нормативное состояние, мы обратились в администрацию АМО.<br>Как сообщила редакции начальник отдела транспорта, дорожного хозяйства и благоустройства администрации АМО Наталья Лукоянова из 972 метров проезжей части улицы около 400 метров приходится на дорогу с щебеночным покрытием. Как раз эта часть улицы вызывает наибольшие нарекания как тех, кто на ней проживает, так и многочисленных садоводов. Капитальный ремонт дороги планировался на 2023 год, что касается текущего содержания, то по информации ООО «АДС», грейдирование щебеночного покрытия улицы Садовая будет проведено в ближайшую неделю, а в дальнейшем, до начала капитального ремонта, проезжая часть будет выравниваться и подсыпаться не реже одного раза в месяц.<br>Автор: Олег НАУМОВ;Ремонт дороги;9;"Уважаемые представители Александровского муниципального округа Пермского края!

Согласно информации, предоставленной в тексте, на улице Садовая в микрорайоне Залог имеются многочисленные ямы и рытвины, которые напоминают воронки после бомбежки. Кроме того, в непогоду дорога становится еще более опасной. Местные жители пытаются бороться с этой проблемой самостоятельно, заваливая выбоины травой. Однако, даже таксисты отказываются принимать заказы на Садовую.

Мы обращаемся к вам с просьбой принять меры по устранению данной проблемы. Необходимо провести капитальный ремонт дороги, чтобы обеспечить безопасность для всех участников движения. Также необходимо регулярно проводить работы по выравниванию и подсыпке проезжей части, чтобы предотвратить дальнейшее разрушение дороги.

Просим вас предоставить план действий по устранению проблемы и назначить ответственных лиц за его выполнение. Мы надеемся на вашу оперативность и готовность решить данную проблему в ближайшее время.

С уважением,
[Имя модератора]"
49;1820;ИГЖН ПК;ЖКХ;'Здравствуйте,<br>Я Берлин Анжелика Ноэлевна , проживаю по адресу г. Пермь ул. Косякова 5 кв 4 , мой супруг Чукавин Павел Васильевич уехал в составе ОМОНа на границы с Украиной , в нашем доме единая управляющая компания, ранее горизонт ,2 года не меняет аварийные стойки , каждый раз приходят смотрят, фиксируют факт об аварийности , и уходят , потом отмахиваются , то инженер болеет , то доступа нет , так же в угловой комнате , батареи не греют от слова совсем , в угловой комнате температура доходит до 12+ при сильных морозах , управляющая компания не выполняет своих обязательств перед жителями дома , прошу правительство Пермского края принять меры в отношении данной компании;Жалобы на управляющие компании;6;"Здравствуйте,

Меня зовут [имя], я являюсь представителем Исполнительной государственной жилищной инспекции Пермского края (ИГЖН ПК). Я обращаюсь к Вам в связи с жалобой, которую Вы отправили нам.

Согласно Вашему письму, в доме №5 по улице Косякова в городе Пермь существует проблема с аварийными стойками, которые не были заменены в течение двух лет. Каждый раз после фиксации факта аварийности, работники управляющей компании уходили, ссылаясь на различные причины, такие как болезнь инженера или отсутствие доступа. Кроме того, в угловой комнате батареи не греют, что приводит к низкой температуре в помещении во время сильных морозов. Управляющая компания не выполняет свои обязательства перед жителями дома.

Мы требуем, чтобы управляющая компания незамедлительно приняла меры для устранения этой проблемы. Просим Вас предоставить план действий, который будет включать замену аварийных стоек и ремонт батарей в угловой комнате.

С уважением,
[Ваше имя]
Исполнительная государственная жилищная инспекция Пермского края (ИГЖН ПК)"
50;1870;Министерство здравоохранения;Здравоохранение/Медицина;'В Министерство здравоохранения по Пермскому краю от Павловой Татьяны Васильевны.<br>Жалоба.<br>Мой супруг, Марышев В. В. 1984 г. р. попал в ДТП 05.10.22 г. Был госпитализирован в отделение неврологии г. Губаха ул. Дегтярева 1.<br>Был поставлен диагноз: ЗЧМТ, ушиб головного мозга тяжелой степени. Многочисленные КГО обеих гемисфер большого мозга. Массивный САК. Закрытый перелом теменной и чешуи височной кости справа со смещением костного отломка в полость черепа.<br>Находился на стационарном лечении 21 день. Выписан без повторного КТ на амбулаторное лечение под наблюдение терапевта и невролога.<br>Отсутствует консультация нейрохирурга и офтальмолога.<br>Лечение неэффективно. На данный момент состояние крайне тяжелое. Испытывает сильные головные боли, дезориентирован в пространстве. Слуховые и зрительные галлюцинации, бредит. Нарушены когнитивные навыки. Зрение и слух нарушены.<br>Настаиваю на немедленной госпитализации в нейрохирургическое отделение и экстренном оперативном вмешательстве с целью избежания летального исхода.<br>В подтверждение моих слов прилагаю выписной эпикриз.;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;6;"Уважаемые представители Министерства здравоохранения!

Я обращаюсь к вам от имени Павловой Татьяны Васильевны, которая столкнулась с серьезными проблемами в получении необходимой медицинской помощи для своего супруга Марышева Владимира Васильевича.

Согласно предоставленной информации, Марышев В. В. попал в ДТП 05.10.2022 года и был госпитализирован в отделение неврологии г. Губаха. Ему был поставлен диагноз: ЗЧМТ, ушиб головного мозга тяжелой степени, многочисленные КГО обеих гемисфер большого мозга, массивный САК, закрытый перелом теменной и чешуи височной кости справа со смещением костного отломка в полость черепа. Он находился на стационарном лечении в течение 21 дня, но был выписан без повторного КТ на амбулаторное лечение под наблюдение терапевта и невролога.

Однако, по словам Павловой Т. В., отсутствует консультация нейрохирурга и офтальмолога, что является критическим моментом в лечении ее супруга. Она настаивает на немедленной госпитализации в нейрохирургическое отделение и экстренном оперативном вмешательстве с целью избежания летального исхода.

Мы требуем незамедлительного решения этой проблемы и предоставления полного объема медицинской помощи. Просим вас разработать план устранения данной проблемы и обеспечить надлежащее лечение Марышеву В. В.

С уважением,
[Ваше имя]"
51;1965;Лысьвенский городской округ;Дороги;"'Уважаемая Администрация-отдел благоустройства.За Зиму ни разу не почистили тротуар у дома Шмидта 30(от Шмидта до дома -ограждение)от дома до Поповского садв (ограждение);Не почищен тротуар по Чапаева 21/1(вдоль мусорных баков от центра Орлова с угла до магазина Старт)Машинам удобно заезжать на тротуар чтобы разъехаться ,а пешеходам не очень мягко сказано.И тротуар вдоль цеха Ники(не закреплена что ли территория ни за кем)ни разу за зиму не почишен тротуар м/д ул Смышляева и Коммунаров ,ходят жители Лысьвы!";★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;10;"Уважаемый Лысьвенский городской округ!

Сообщаем Вам о проблеме, которая возникла в связи с недостаточной очисткой тротуаров от снега и наледи. В частности, ни разу за зиму не были проведены работы по очистке тротуара у дома Шмидта 30, а также тротуара вдоль цеха Ники и улицы Смышляева и Коммунаров. Это создает неудобства для жителей города, особенно для пешеходов, которые вынуждены обходить наледь и скользкие участки дороги.

Требуем незамедлительного проведения работ по очистке указанных тротуаров от снега и наледи. Просим Вас составить план устранения данной проблемы и предоставить его нам в ближайшее время.

С уважением,
[Ваше имя]"
52;1986;Город Пермь;Дороги;'Трасса с Краснокамска в Пермь вся стоит. Начиная от Аджариии и до пьяной дороги в Закамске<br>Пробка у Перми;Пробки;5;"Здравствуйте, организация ""Город Пермь"". Я обращаюсь к вам от имени модератора с просьбой решить проблему, описанную в тексте. В нем говорится о пробке на трассе с Краснокамска в Пермь, начиная от Аджарии и до пьяной дороги в Закамске. Прошу предоставить план устранения данной проблемы."
53;2027;Город Пермь;Социальное обслуживание и защита;'Добрый день. Закрытые люки это хорошо.<br>Но вот не менее не безопасная ситуация, почему расселённые, аварийные, разрушающиеся дома по адресам Тургенева 7, Тургенева 9, Тургенева 11, Ким 74 не огорожены, люди проходят рядом, рискую быть заваленными упавшей стеной дома. Рядом спортивный клуб Династия, в котором очень много детей занимается. Что ждем, уважаемая администрация города Перми?;Аварийное жилье/переселение;6;"Уважаемая администрация города Пермь!

Я обращаюсь к вам с просьбой обратить внимание на проблему, которая возникла в связи с расселением аварийных домов по адресам Тургенева 7, Тургенева 9, Тургенева 11 и Ким 74. Жители этих домов вынуждены проходить мимо опасных участков, рискуя быть заваленными упавшими стенами зданий. Особенно эта проблема актуальна для жителей близлежащего спортивного клуба ""Династия"", где занимаются множество детей.

Мы требуем незамедлительного решения этой проблемы. Просим вас предоставить план действий по устранению данной ситуации. Мы надеемся на вашу оперативность и ответственность в решении этого вопроса, чтобы обеспечить безопасность жителей и посетителей спортивных клубов.

С уважением,
[Ваше имя]"
54;2050;Министерство здравоохранения;Здравоохранение/Медицина;'Доброе утро.Не можем записаться из Очера в Пермь к аллергологу уже 2 месяца.В чём проблема.Почему окулист из Перми отправляет в Очер к аллергологу на консультацию,если его у нас нет,а после этого нужно снова к нему? Что нельзя было сразу отправить к аллергологу в Перми? Человек должен туда сюда кататься за 110 км.А теперь ещё и записаться не можем.Хотели всё сделать в каникулы,дак 2 месяца никаких результатов.Не разберётесь,пойду дальше;Технические проблемы с записью на прием к врачу;5;"Здравствуйте!

Я обращаюсь к вам от имени пользователя, который столкнулся с проблемой записи на прием к врачу. Он не может записаться на прием к аллергологу уже два месяца, несмотря на то, что живет всего в 110 км от Перми. Пользователь задает вопрос, почему он должен ездить в Очер, если в Перми нет аллерголога, и почему он должен возвращаться обратно, чтобы попасть на прием. Пользователь также упоминает, что хотел все сделать во время каникул, но пока не получил никаких результатов.

Требуется план устранения этой проблемы. Пользователь надеется на вашу помощь в решении этой технической проблемы."
55;2142;Министерство здравоохранения;Здравоохранение/Медицина;"'Всем доброго дня! Почему в Ильинском районе, в частности в Чермозе, медицина ну явно НЕДОСТУПНАЯ? В различных ""новостях"" хвастают, что там и тут (ну только не у нас!!!) строят и открывают новые ФАПы, молодые специалисты едут работать. А что же Чермоз? Вместо терапевта прием ведет фельдшер, я не хочу сказать ничего плохого, но ведь наверное можно организовать хотя бы раз-два в неделю выезд терапевта. Про ""узких"" специалистов и разговора нет, похоже они к нам дорогу забыли. Весной в газете ""Знамя"" была статья про аппарат УЗИ в Чермозе, еще про что-то несбыточное, зачем обманывать? В последнее время многим приходят сообщения или поступают звонки из медицинских страховых организаций о прохождении диспансеризации, но узнав что человек из Чермоза предлагают ""упрощенный вариант"", т.е. сдать анализы и посетить прием фельдшера. Не у всех есть возможность приехать в Ильинский сделать флюорографию, рентген. Так когда же будет медицина ДОСТУПНОЙ? Анон.";Нехватка или сокращение врачей и медицинских учреждений;7;"Уважаемые представители Министерства здравоохранения!

Сообщаем Вам о проблеме доступности медицинской помощи в Ильинском районе, в частности в Чермозе. В различных новостях сообщается о строительстве и открытии новых фельдшерско-акушерских пунктов, однако население района остается без должного медицинского обслуживания.

Вместо квалифицированных врачей, прием ведет фельдшер, что вызывает беспокойство среди жителей Чермоза. Мы считаем, что необходимо организовать регулярные выезды врачей для проведения профилактических осмотров и консультаций.

Также, хотелось бы обратить внимание на то, что многие жители района сталкиваются с трудностями при прохождении диспансеризации из-за удаленности и отсутствия возможности пройти флюорографию и рентген.

Просим Вас разработать план устранения данной проблемы, включающий организацию регулярных выездов врачей, расширение возможностей прохождения диспансеризации и улучшение доступности медицинских услуг для населения Чермоза.

С уважением,
[Ваше имя]"
56;2148;Министерство социального развития ПК;Социальное обслуживание и защита;'[id595531682|Светлана], и снова позор Фокину!! Вчера было 24число,сегодня 25...и снова молчит телефон 217.77.40..и сегодня еще лично убедилась...написано: горячая линия соцзащиты Пермского края.217.77.40..сайты не читают,специалисты вчера еще говорили,что перезвоним...нет никаких звонков и действий!!!! Одна халатность у Фокина,которую допускает губернатор!! Но они мне уже после всего этого не нужны..У нас есть Министр страны,Генпроруратура и конечно Президент!!!;Оказание гос. соц. помощи;5;Здравствуйте! Я обращаюсь к вам от имени [имя модератора] с просьбой решить проблему, описанную в предыдущем сообщении. В нем пользователь сообщает о том, что его телефон перестал работать, и он обратился на горячую линию социальной защиты Пермского края по номеру 217.77.40. Однако, несмотря на обещания специалистов, ему не удалось получить помощь. Пользователь также упоминает о других государственных организациях, которые могут помочь в данной ситуации. Требуется предоставить план действий для устранения проблемы.
57;2169;Министерство здравоохранения;Здравоохранение/Медицина;'Я уже давно обратилась, вы почему мне одно и то же пишите раз за разом. Я уже должна получать новые препараты Опспмит и Ревацио. Вам давно уже были переданы новые документы под другими торговыми марками на меня. Вы что, до сих пор не решили этот вопрос? Или специально нехотите ничего делать, чтобы решить мой вопрос? Тогда, что за специалисты-вредители у вас в минздраве работают? Ищите, все документы под марками Опсамит и Ревацио на меня сделаны и должны находиться у вас. Куда мне уже стоит обратиться, так это в росздравнадзор и Министерство здравоохранения РФ. Загородских Елена Борисовна г.Березники. Лёгочная гипертензия, ССД. Бизяева Н.Н. уже давно должна была передать вам новые заявки на меня. Ищите. Я почему годами должна ждать своего жизненноважного препарата, который действительно помогает? Вы вредители, самые натуральные. Таким бюрократам нельзя работать в Минздраве.;Льготные лекарства;9;"Здравствуйте,

Меня зовут [Имя], я обращаюсь к вам от имени [ФИО] с просьбой решить мою проблему. Я уже долгое время обращаюсь к вам с одним и тем же вопросом, но пока не получила ответа.

Моя проблема заключается в том, что я нуждаюсь в лекарстве Опспмит и Ревацио, которое должно быть предоставлено мне как льготному пациенту. Однако, я не могу получить эти препараты, так как они не находятся у вас. Я уже передала вам новые документы на меня, но до сих пор не получила ответа.

Я очень разочарована такой работой со стороны вашей организации. Я считаю, что вы должны решить эту проблему как можно скорее. Я требую, чтобы вы предоставили мне необходимые препараты и провели расследование для выяснения причин задержки.

Я надеюсь на вашу помощь и скорое решение моей проблемы. Если я не получу ответ в течение недели, я буду вынуждена обратиться в Росздравнадзор и Министерство здравоохранения РФ.

С уважением,
[Ваше имя]"
58;2218;Министерство образования;Образование;'В поселке Сараны Горнозаводского района школа находится в аварийном состоянии. Там учатся дети. Директор школы Пашкова Татьяна Викторовна стучится во все двери Везде тишина Вы как школы принимаете? Завтра губернатору отправлю фото школы Дети в войну не учились в таких условиях. Почему нельзя организовать подвоз? Весь мир возит школьников! Один директор это не вывезет! В детском саду в Саранах дети замерзают А ведь в поселке живут шахтёры.;Содержание гос. образовательных организаций;6;"Уважаемые представители Министерства образования!

Я обращаюсь к вам от имени жителей поселка Сараны Горнозаводского района. В нашем поселке находится школа, которая находится в аварийном состоянии. Это создает серьезные проблемы для детей, которые обучаются в ней. Директор школы, Татьяна Викторовна Пашкова, стучит во все двери, но пока не получает ответа. Мы считаем, что такие условия неприемлемы для обучения детей и просим вас принять меры по устранению этой проблемы.

Мы также хотели бы обратить ваше внимание на то, что в поселке есть детский сад, где дети замерзают. Это еще одна серьезная проблема, которую необходимо решить.

Мы требуем, чтобы вы разработали план устранения этих проблем и приняли необходимые меры. Мы надеемся, что вы примете наше обращение всерьез и предпримете соответствующие действия.

С уважением,
[Ваше имя]"
59;2265;Город Пермь;Благоустройство;'[club211626285|Администрация Орджоникидзевского района Перми], был по работе в данных дворах в которых произведено якобы благоустройство . С одной стороны да выглядит красивее , но это только на глаз . По поводу удобства для самих жителей вопрос сомнительный . К примеру Янаульская 6-8 как таковая исчезла стоянка перед домом для авто сократив ее количество с 10 до двух по вместимости , хотя место оставить прежней и даже расширить вполне позволяло и это при всеобщем дефиците мест во дворах . Второе даже на эту сокращенную до 2 мест невозможно заехать из за прямых углов при повороте . Те же самые прямые углы и на въезде на стоянку за домом . Дорога и выезд из 3 домов через Ян .6-8 где раннее могли разъехаться 2 авто из за бордюров стала однополосной с невозможностью разъехаться со встречными . Зимой будет все гораздо хуже , в том числе и от прямых углов с бордюрами ничего не останется вследствии работы снегоуборочной техники . И это при том что возможности для расширения были , как собственно и повороты с округлением как делали в советские времена . Этот новодел с прямыми углами на поворотах уже многие проклинают проезжая круг дк Чехова , сейчас и во дворах то же самое . Вопрос кто это все принимает и чем руководствуются нынешние инженеры . Видимо только внешним лоском , но никак не удобством для жителей на годы вперед . Тогда вопрос а для чего ? По многим другим дворам тоже можно перечислить в качестве примера привел один из таковых где новодел создал больше проблем , чем пользы жителям близлежащих домов . Обратите внимание с практической точки зрения и укажите на это приемщику данных работ и ГОСТЫ которые вряд ли кто отменял .;Благоустройство придомовых территорий;6;"Здравствуйте!

Я обращаюсь к вам от имени [название организации] с просьбой рассмотреть проблему, описанную в тексте, и предоставить план устранения данной проблемы.

В тексте говорится о том, что во дворах, где было произведено якобы благоустройство, возникли определенные проблемы. Например, на улице Янаульская 6-8 была сокращена стоянка для автомобилей, что привело к тому, что жители не могут разъехаться на этой дороге. Также упоминается, что дорога и выезд из трех домов стали однополосными из-за прямых углов и бордюров. Эти проблемы создают неудобства для жителей и могут ухудшиться зимой.

Мы требуем предоставить план устранения этих проблем, включая расширение дороги и улучшение поворотов. Мы также просим обратить внимание на соблюдение ГОСТов при выполнении работ.

Будем благодарны за оперативный ответ и решение данной проблемы."
